observation_id,observed_at,available_at,retrieved_at,source_url,source_type,category,brand,model,variant,advertised_price,previous_advertised_price,coe_rebate_level,guaranteed_coe,guaranteed_coe_bid_count,guaranteed_coe_terms,finance_rate_pct,finance_incentive_value,finance_incentive_terms,trade_in_incentive_value,trade_in_incentive_terms,cash_discount_value,other_incentive_value,promotion_deadline,promotion_name,roadshow_name,roadshow_start,roadshow_end,market_share_weight,currency,notes
sgcm-81-2024-01-19-p1-a,2024-01-19T00:00:00+08:00,2024-01-19T23:59:59+08:00,2026-08-24T11:36:19.608221+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-01-19.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,154888.0,,71500.0,True,,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",,,2024-02-07,"Promotion | The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.046848635235732,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=19; price_range=129888.0-228888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=969959914186f429623b8d858a82ebba4d06bc45991a8c6179770a0c072596a5; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-02-01-p1-a,2024-02-01T00:00:00+08:00,2024-02-01T23:59:59+08:00,2026-08-24T11:36:41.548600+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-02-01.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,154888.0,154888.0,72500.0,True,,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",,,2024-02-07,"Promotion | The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0532753376721064,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=19; price_range=129888.0-228888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=b15283b0ff1f71c09638e828df1de92a7d34f4aa8aa716bd38df96d1e2e94d88; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-02-13-p1-a,2024-02-13T00:00:00+08:00,2024-02-13T23:59:59+08:00,2026-08-24T11:37:08.334502+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-02-13.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,153888.0,154888.0,72500.0,True,,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",7000.0,,2024-02-12,"Promotion | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0532753376721064,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=129888.0-224888.0; finance_rate_pct=nan; finance=Finance Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=025bd85e6d859eaf638a329b249581c5a2b495157670c1a11a0a92402c0823fa; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-02-23-p1-a,2024-02-23T00:00:00+08:00,2024-02-23T23:59:59+08:00,2026-08-24T11:37:35.173736+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-02-23.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,151888.0,153888.0,71500.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",7000.0,,2024-03-03,"Promotion | Thomson Plaza Roadshow Specials | $7,000 Roadshow Discount for Excite Package | $3,000 Roadshow Discount for Savers Package | $3,000 Roadshow Discount for Base Package | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.","Promotion | Thomson Plaza Roadshow Specials | $7,000 Roadshow Discount for Excite Package | $3,000 Roadshow Discount for Savers Package | $3,000 Roadshow Discount for Base Package | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",2024-02-22,2024-03-03,0.0532753376721064,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=127888.0-222888.0; finance_rate_pct=nan; finance=Finance Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=edf648f4f7e746eb315499c0aa13ff191a530ac9aecf354e7f6d488a243633b5; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-03-08-p1-a,2024-03-08T00:00:00+08:00,2024-03-08T23:59:59+08:00,2026-08-24T11:38:13.222705+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-03-08.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,157888.0,151888.0,57000.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,,2024-03-17,"Promotion | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0653378706854642,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=133888.0-228888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=fb46e99779923a113c283626a8aa4d164e3b5e4938be6e0f25e5c11acf13847e; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-03-21-p1-a,2024-03-21T00:00:00+08:00,2024-03-21T23:59:59+08:00,2026-08-24T11:38:34.585482+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-03-21.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,160888.0,157888.0,60000.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",10000.0,,2024-03-26,"Promotion | Bedok Mall Roadshow Specials | $10,000 Roadshow Discount for Excite Package 8 Years Battery Warranty | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.","Promotion | Bedok Mall Roadshow Specials | $10,000 Roadshow Discount for Excite Package 8 Years Battery Warranty | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",2024-03-20,2024-03-26,0.0653378706854642,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=138888.0-231888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=f030410e827db6d227a85a57144157d9e8e8798f50c6a519498fe95e092be82e; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-04-04-p1-a,2024-04-04T00:00:00+08:00,2024-04-04T23:59:59+08:00,2026-08-24T11:39:01.660282+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-04-04.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,163888.0,160888.0,65000.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",10000.0,,2024-04-14,"Promotion | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0780084028343889,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=141888.0-234888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=0981af31bff5b56ca5115a729cdaa9437891cc47f50efbd982dd7383fbf0df8a; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-04-22-p1-a,2024-04-22T00:00:00+08:00,2024-04-22T23:59:59+08:00,2026-08-24T11:40:01.601644+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-04-22.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,163888.0,163888.0,80000.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",5000.0,,2024-05-08,"Promotion | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0780084028343889,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=141888.0-234888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=763c568cf531adb131bd2fb6d7bc5a7931c1621f570fd73faf3f557a5985035b; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-04-26-p1-a,2024-04-26T00:00:00+08:00,2024-04-26T23:59:59+08:00,2026-08-24T11:40:12.487049+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-04-26.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,164888.0,163888.0,80000.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",5000.0,,2024-05-08,"Promotion | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0780084028343889,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=19; price_range=141888.0-234888.0; finance_rate_pct=nan; finance=Finance Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=fd585da5fb3c58b65d16393df0865929514c797b107bbe9f1a7d850e2a945d48; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
sgcm-81-2024-05-13-p1-a,2024-05-13T00:00:00+08:00,2024-05-13T23:59:59+08:00,2026-08-24T11:41:00.269706+00:00,https://media.i-sgcm.com/public/new-cars/pricelist/81/2024-05-13.pdf#page=1,SGCarMart archived authorised-dealer price list,Category A,BYD,Price-list page summary,PDF page 1,163888.0,164888.0,78000.0,True,6.0,mixed guaranteed and non-guaranteed packages,,6000.0,"Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",6000.0,"Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan",5000.0,,2024-05-19,"Promotion | 6. The above promotion, price and vehicle specifications are subject to change without prior notice.",,,,0.0897138204517354,SGD,"brand_category_pricelist_page_summary; explicit_page_label; price_count=18; price_range=141888.0-234888.0; finance_rate_pct=nan; finance=Finance Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; trade_in=Trade-in Rebate | 2. Finance rebates, insurance rebate, trade-in rebate and are only to successful applicants: $100,000 / 7-year loan; sha256=c528cfe74acee9d53cde0ed0ce626fcd97c2e150d153ca428ecf68dce9b5881c; retrospective archive reconstruction; date-only available_at is conservatively set to end-of-day unless the recorded collection time proves earlier public availability."
